title,author,star_score,genre,keywords,synopsis,Thumb,day,favorite_count,epi_cnt,completed_date,content
마왕 아빠 용사 딸,빵박사 / 최거봉 / 주먹,9.82444,판타지,"판타지, 육아물","용사를 꿈꾸는 딸 세린 그런 그녀를 양육하는 마왕 시온
시온은 자신의 정체를 딸에게 절대 들켜서는 안 된다
딸의 꿈을 막을 수도 그렇다고 독려할 수도 없는 처지
그런 딜레마 속에서 벌어지는 세린의 좌충우돌 용사 성장기 혹은
마왕의 용사 양육기",https://image-comic.pstatic.net/webtoon/820918/thumbnail/thumbnail_IMAG21_196c3bdd-037d-4c56-9300-7a0914e8a996.jpg,,,,,"판타지 판타지, 육아물 용사를 꿈꾸는 딸 세린 그런 그녀를 양육하는 마왕 시온
시온은 자신의 정체를 딸에게 절대 들켜서는 안 된다
딸의 꿈을 막을 수도 그렇다고 독려할 수도 없는 처지
그런 딜레마 속에서 벌어지는 세린의 좌충우돌 용사 성장기 혹은
마왕의 용사 양육기"
일진담당일진,GRIMZO,9.89375,액션,"사이다, 액션","주인공 권대건은 자퇴 후 검정고시를 준비하며 편의점에서 알바를 하고 있던 중 양아치들과 시비가 붙는다
가뿐하게 그들을 제압한 대건에게 이전부터 유심히 지켜보던 교육 재단으로부터 일진담당일진 프로젝트를 제안 받는다
고민 끝에 제안을 수락한 대건은 재단 소속 고등학교에 입학해 재단의 명령대로 학교의 핵심적인 일진들을 차례차례 격파해나간다",https://image-comic.pstatic.net/webtoon/797153/thumbnail/thumbnail_IMAG21_62fa8e3d-e445-4dd4-9730-88364faa18e0.jpg,,,,,"액션 사이다, 액션 주인공 권대건은 자퇴 후 검정고시를 준비하며 편의점에서 알바를 하고 있던 중 양아치들과 시비가 붙는다
가뿐하게 그들을 제압한 대건에게 이전부터 유심히 지켜보던 교육 재단으로부터 일진담당일진 프로젝트를 제안 받는다
고민 끝에 제안을 수락한 대건은 재단 소속 고등학교에 입학해 재단의 명령대로 학교의 핵심적인 일진들을 차례차례 격파해나간다"
화산파 역대급 천재,정확콘 / 꿀라숑 / 묘엽,9.6955,무협/사극,"무협/사극, 소설원작, 힘숨찐, 성장물, 판무","좋은 집안도 내공도 없어 화산파에서 하산 될지도 모르는 삼대 제자 백운호
그러던 어느 날 몽원경이라는 기연을 만나 화산파 역대급 천재로 거듭나는데
백운호는 어디까지 강해질 것인가",https://image-comic.pstatic.net/webtoon/817301/thumbnail/thumbnail_IMAG21_af888d4f-1ee3-4c3f-96d0-f1f6f507f9e2.jpg,,,,,"무협/사극 무협/사극, 소설원작, 힘숨찐, 성장물, 판무 좋은 집안도 내공도 없어 화산파에서 하산 될지도 모르는 삼대 제자 백운호
그러던 어느 날 몽원경이라는 기연을 만나 화산파 역대급 천재로 거듭나는데
백운호는 어디까지 강해질 것인가"
설산의 괴물 황녀,물보라 / 수호 / 이낙음,9.92339,로맨스,"소설원작, 로맨스, 회귀","선황제의 늦둥이 딸 발레리 벨로프는 어미인 앨리시아에게 오랫동안 학대를 받다 그녀의 죄로 얼어붙은 설산에 유배를 당하게 된다
그곳에서 불행히도 많은 이들을 공포에 떨게 한 괴물의 빙결 능력을 갖게 되어 끝내 절망한 발레리는 19살 생일에 스스로 죽음을 택하지만 죽음 속에서 눈을 떠보니 앨리시아에게 학대받던 9살의 어린 시절로 돌아왔다는 것을 깨닫게 되는데
발레리는 과거와 달라지기 위해 자신을 설산으로 유배시킨 황제이자 이복 오빠인 밀러드에게로 도망치고

폐하 제발 저를 구해주세요 시키시는 건 뭐든 다 할게요 제발 저 좀 살려주세요

그날을 기점으로 발레리의 삶은 과거와 달라지게 된다
그리고 소중한 가족들과 행복한 나날들을 보내던 발레리는 세상과 단절된 채 능력을 숨기고 살아가는 어둠 속의 아이를 만난다

안녕 괴물
나도 너와 같은 괴물이야",https://image-comic.pstatic.net/webtoon/822007/thumbnail/thumbnail_IMAG21_ecbbd214-4b9b-493f-a0b8-b92455f19f2a.jpg,,,,,"로맨스 소설원작, 로맨스, 회귀 선황제의 늦둥이 딸 발레리 벨로프는 어미인 앨리시아에게 오랫동안 학대를 받다 그녀의 죄로 얼어붙은 설산에 유배를 당하게 된다
그곳에서 불행히도 많은 이들을 공포에 떨게 한 괴물의 빙결 능력을 갖게 되어 끝내 절망한 발레리는 19살 생일에 스스로 죽음을 택하지만 죽음 속에서 눈을 떠보니 앨리시아에게 학대받던 9살의 어린 시절로 돌아왔다는 것을 깨닫게 되는데
발레리는 과거와 달라지기 위해 자신을 설산으로 유배시킨 황제이자 이복 오빠인 밀러드에게로 도망치고

폐하 제발 저를 구해주세요 시키시는 건 뭐든 다 할게요 제발 저 좀 살려주세요

그날을 기점으로 발레리의 삶은 과거와 달라지게 된다
그리고 소중한 가족들과 행복한 나날들을 보내던 발레리는 세상과 단절된 채 능력을 숨기고 살아가는 어둠 속의 아이를 만난다

안녕 괴물
나도 너와 같은 괴물이야"
선녀외전,효빈,9.97465,로맨스,"삼각관계, 로맨스, 복수극, 2030연애, 걸크러시","나무꾼을 살해하고 인간계에 갇혀 연예인으로 살아가던 선녀 천모란은 자신이 연루된 살인사건 담당 형사 사제하에게 정체를 들키고 만다
한편 그와 가까워질수록 잃어버린 날개옷의 행방이 드러나는데
날개옷을 되찾기 위한 21세기 선녀의 피 튀는 복수 증오 그리고 사랑 이야기",https://image-comic.pstatic.net/webtoon/800850/thumbnail/thumbnail_IMAG21_623810a7-d18d-4768-b6a7-7af3bf316ba5.jpg,,,,,"로맨스 삼각관계, 로맨스, 복수극, 2030연애, 걸크러시 나무꾼을 살해하고 인간계에 갇혀 연예인으로 살아가던 선녀 천모란은 자신이 연루된 살인사건 담당 형사 사제하에게 정체를 들키고 만다
한편 그와 가까워질수록 잃어버린 날개옷의 행방이 드러나는데
날개옷을 되찾기 위한 21세기 선녀의 피 튀는 복수 증오 그리고 사랑 이야기"
헌터 세상의 정원사,스토리아크 / 토모조 / 슬리버,9.84411,판타지,"소설원작, 판타지","스킬도 전투 능력도 없는 일꾼 클래스의 최약체 헌터 유지하

헌터 랭킹 최하위인 지하는 잡화점을 운영하며 소소하게 생계를 이어 가고 있었다

그러던 어느 날
꿈을 통해 이공간인 정원에 진입하게 되면서
그의 헌터 인생은 크게 뒤집히는데

식물 친화 Lv1을 획득하셨습니다
XXX의 축복 Lv1을 획득하셨습니다

나뭇가지 하나 심었다고 스킬이 생겨

헌터 세상의 유일한 정원사가 된 그의
특별한 모험이 시작된다",https://image-comic.pstatic.net/webtoon/821371/thumbnail/thumbnail_IMAG21_2cf27d41-b3ce-4377-bae3-3898a5ca341a.jpg,,,,,"판타지 소설원작, 판타지 스킬도 전투 능력도 없는 일꾼 클래스의 최약체 헌터 유지하

헌터 랭킹 최하위인 지하는 잡화점을 운영하며 소소하게 생계를 이어 가고 있었다

그러던 어느 날
꿈을 통해 이공간인 정원에 진입하게 되면서
그의 헌터 인생은 크게 뒤집히는데

식물 친화 Lv1을 획득하셨습니다
XXX의 축복 Lv1을 획득하셨습니다

나뭇가지 하나 심었다고 스킬이 생겨

헌터 세상의 유일한 정원사가 된 그의
특별한 모험이 시작된다"
남편의 정부로 환생한 심정을 서술하시오,우주 / 뮤우 / 뚜또리,9.80214,로맨스,"소설원작, 삼각관계, 로맨스, 로판","유리 몸 대공비였던 나는 심한 발작으로 목숨을 잃었다
아니 잃은 줄 알았다

당신을 원해
그리고 나와 똑같이 생긴 여자로 환생해버렸다
그런데 이 여자의 몸 엄청 튼튼하잖아
건강한 몸을 얻은 기쁨도 잠시 모두가 내게 이리 말한다
이 여자가 완벽한 내 남편의 정부라고

진실을 듣기 위해 찾아간 나의 장례식
그곳에서 내 남편보다 더 세상이 무너진 듯 울고 있는 미남자를 보았다

생전 처음 보는 저 남자는 누구일까
그리고 과연 이 여자는내 남편의 정부일까",https://image-comic.pstatic.net/webtoon/822208/thumbnail/thumbnail_IMAG21_bf5b0d9c-f92c-4072-b038-8c177749ad08.jpg,,,,,"로맨스 소설원작, 삼각관계, 로맨스, 로판 유리 몸 대공비였던 나는 심한 발작으로 목숨을 잃었다
아니 잃은 줄 알았다

당신을 원해
그리고 나와 똑같이 생긴 여자로 환생해버렸다
그런데 이 여자의 몸 엄청 튼튼하잖아
건강한 몸을 얻은 기쁨도 잠시 모두가 내게 이리 말한다
이 여자가 완벽한 내 남편의 정부라고

진실을 듣기 위해 찾아간 나의 장례식
그곳에서 내 남편보다 더 세상이 무너진 듯 울고 있는 미남자를 보았다

생전 처음 보는 저 남자는 누구일까
그리고 과연 이 여자는내 남편의 정부일까"
이제 와 후회해봤자,지엽 / 달슬,9.83909,로맨스,"소설원작, 로맨스, 후회물","황실 제네어의 사생아 이네스 500년의 역사를 가진 르잔의 대공 레이언
이들의 결혼은 각 국가의 화합을 도모하는데 크게 일조했다 
그러나 실상을 들여다보면 이 결혼은 속이 썩은 사과였다

다음 생이 있다고 해도 다시는 만나지 말아요 우리",https://image-comic.pstatic.net/webtoon/822010/thumbnail/thumbnail_IMAG21_774f2164-ee39-4c00-9635-ce21249d4c40.jpg,,,,,"로맨스 소설원작, 로맨스, 후회물 황실 제네어의 사생아 이네스 500년의 역사를 가진 르잔의 대공 레이언
이들의 결혼은 각 국가의 화합을 도모하는데 크게 일조했다 
그러나 실상을 들여다보면 이 결혼은 속이 썩은 사과였다

다음 생이 있다고 해도 다시는 만나지 말아요 우리"
본투비갓,턱점,9.92416,판타지,판타지,"돈에 미친 양아치 선도부 김태성
어느 날 옆집으로 이사 온 무당 화려한을 만난 이후로 그의 주변에 무당이 하나둘씩 꼬이게 되고 귀신에 씌인 존재가 태성을 공격하기 시작하는데
태성에게 요괴 두억시니를 빙의시키는 화려한
과연 태성은 두억시니와 함께 자신의 목숨을 지킬 수 있을까",https://image-comic.pstatic.net/webtoon/784846/thumbnail/thumbnail_IMAG21_e646f282-bf5e-4c72-8847-9a12d727294a.jpg,,,,,"판타지 판타지 돈에 미친 양아치 선도부 김태성
어느 날 옆집으로 이사 온 무당 화려한을 만난 이후로 그의 주변에 무당이 하나둘씩 꼬이게 되고 귀신에 씌인 존재가 태성을 공격하기 시작하는데
태성에게 요괴 두억시니를 빙의시키는 화려한
과연 태성은 두억시니와 함께 자신의 목숨을 지킬 수 있을까"
음악천재를 위하여,캐롯스튜디오 / 고광(高光),9.88139,감성,"소설원작, 감성","가난한 집안을 부끄러워하던 강현은 주변의 연을 끊어가며 필사적으로 공부해 대성하지만 이윽고 자신의 이상이 잘못됨을 깨닫는다 
설상가상으로 암에 걸리게 된 현은 지하철 선로에 떨어진 사람을 구하려다 치이고 교향곡의 멜로디를 들으며 과거로 회귀한다 
그렇게 전과 같은 삶을 살지 않겠다 다짐하던 현은 자신에게 엄청난 음악적 재능이 생긴 것을 깨닫는데",https://image-comic.pstatic.net/webtoon/822827/thumbnail/thumbnail_IMAG21_dbe569ff-6ba9-4e6b-b232-2d48b7ee00ff.jpg,,,,,"감성 소설원작, 감성 가난한 집안을 부끄러워하던 강현은 주변의 연을 끊어가며 필사적으로 공부해 대성하지만 이윽고 자신의 이상이 잘못됨을 깨닫는다 
설상가상으로 암에 걸리게 된 현은 지하철 선로에 떨어진 사람을 구하려다 치이고 교향곡의 멜로디를 들으며 과거로 회귀한다 
그렇게 전과 같은 삶을 살지 않겠다 다짐하던 현은 자신에게 엄청난 음악적 재능이 생긴 것을 깨닫는데"
